Heloizy, Igora, Remigiusza
Racheli, Sławy, Teofila
Bogumiła, Gerarda, Józefy
Edwina, Rosławy, Rozalii
Flawii, Justyna, Rajmunda
Artura, Fryderyki, Petry
Krystyna, Marii, Marka
Brygidy, Loreny, Marcina
Arnolda, Ludwika, Sybili
Franciszka, Loretty, Poli
Aldony, Brunona, Emila
Krystyny, Maksa, Serafiny
Edwarda, Geraldyny, Teofila
Alany, Damiana, Liwii
Jadwigi, Leonarda, Teresy
Ambrożego, Florentyny, Gawła
Antonii, Ignacego, Wiktora
Hanny, Klementyny, Łukasza
Michaliny, Michała, Piotra
Ireny, Kleopatry, Witalisa
Celiny, Hilarego, Janusza
Haliszki, Lody, Przybysłšwa
Edwarda, Marleny, Seweryna
Arety, Marty, Marcina
Ingi, Maurycego, Sambora
Ewarysta, Lucyny, Lutosławy
Iwony, Noemi, Szymona
Narcyza, Serafina, Wioletty
Angeli, Przemysława, Zenobii
Augustyny, Łukasza, Urbana
